,Univeristy/Institute,Sector,City,Address,Phone,Other details
0,ABASYN UNIVERSITY,Private,Peshawar,"Peshawar Campus, Ring Road (Charsadda Link), Peshawar.","92-91-258 2934, +92-91- 224867",Email: admissions@abasyn.edu.pk Fax:+92 051 8438325 URL:http://www.abasyn.edu.pk/
1,Abbottabad University of Science and Technology (AUST),Public,Abbottabad,"Captain Akaash Rabbani Shaheed Road, Tehsil Havelian, District Abbottabad, Khyber Pakhtunkhwa",+92 (992) 402 117,Email: info@aust.edu.pk Fax: URL:http://aust.edu.pk
2,ABDUL WALI KHAN UNIVERSITY,Public,Mardan,"Garden Campus Toru Road, Mardan","+92-937-843356, +92-937-840499",Email: ua-cdc@awkum.edu.pk Fax: URL:http://www.awkum.edu.pk
3,AIR UNIVERSITY,Public,Islamabad,"Service Road E-9 / E-8, Islamabad, Pakistan، Islamabad 44000, Pakistan",+92-51-9262557-9,Email: amjad@mail.au.edu.pk Fax:051-9260158 URL:http://www.au.edu.pk/
4,AL-HAMD ISLAMIC UNIVERSITY,Private,Quetta,"Airport Road Quetta, Baleli Road, Quetta, Pakistan","+92-81-2301771-6, 4, 3,2",Email: info@aiu.edu.pk Fax: URL:http://www.aiu.edu.pk
5,ALI INSTITUTE OF EDUCATION,Private,Lahore,"Shahrah-e-Roomi (Ferozpur Road), Lahore 54000.",+92.423 588 2913,Email: info@aie.edu.pk Fax: URL:http://www.aie.edu.pk/
6,ALLAMA IQBAL OPEN UNIVERSITY,Public,Islamabad,"Ashfaq Ahmed Road, H-8/2، Islamabad 44000, Pakistan",+92-51-111-112-468,Email: support@aiou.edu.pk Fax:(042) 99260021 URL:http://www.aiou.edu.pk
7,BAHAUDDIN ZAKARIYA UNIVERSITY,Public,Multan,"Bosan Road,Multan 60000, Multan, Pakistan",+92-61-9210069,Email: registrar@bzu.edu.pk Fax:+92 61 9210069 URL:http://www.bzu.edu.pk
8,BAHRIA UNIVERSITY,Public,Islamabad,"Sector E-8، Shangrilla Rd, Islamabad, Pakistan",+92-51-111-111-028,Email: info@bahria.edu.pk Fax: 92-51-9260885 URL:http://www.bahria.edu.pk/
9,Balochistan University of Engineering & Technology,Public,Khuzdar,"Balochistan University of Engg & Technology (BUET), Khuzdar.","+92-848-412834, +92-848-502100","Email: info@buetk.edu.pk Fax:FAX +92 848 413197, URL:http://www.buetk.edu.pk"
10,BALOCHISTAN UNIVERSITY OF INFORMATION TECHNOLOGY & MANAGEMENT SCIENCES,Public,Quetta,"Balochistan University of Information Technology, Engineering and Management Sciences, Airport Road, Baleli, Quetta.","+92-81-2881042081, +92-81-9202",Email: faisal.durrani@buitms.edu.pk Fax:+92 (81) 2880522 URL:http://www.buitms.edu.pk
11,BAQAI MEDICAL UNIVERSITY,Private,Karachi,"51, Deh Tor, Gadap Road, Near Toll Plaza, Super Highway P.O Box No 2407, Karachi - 74600, Pakistan.","+92-21-34410-311, +92-21-34410","Email: info@baqai.edu.pk Fax:(092-21)34410-317 , URL:http://www.baqai.edu.pk"
12,BEACONHOUSE NATIONAL UNIVERSITY,Private,Lahore,"13 KM Raiwaind Road, Near Jati Umrah Road, Lahore 54400.",+92-42-38100156,Email: info@bnu.edu.pk Fax:(92) 42-5760254 URL:http://www.bnu.edu.pk
13,BENAZIR BHUTTO SHAHEED UNIVERSITY LYARI,Public,Karachi,"Fakir Muhammad Dura Khan Road, Near “Kashti Chowk” Lyari, Karachi, Postal Code: 75660.","+92-21-32744020, +92-21-327440",Email: info@bbsul.edu.pk Fax: URL:http://www.bbsul.edu.pk
14,CECOS UNIVERSITY OF INFORMATION TECHNOLOGY & EMERGING SCIENCES,Private,Peshawar,"CECOS University, Phase 6, Sector F-5, Hayatabad, Peshawar.",+92-91-5864291,Email: info@www.cecos.edu.pk Fax:(92) (091) 5860294 URL:http://www.cecos.edu.pk
15,COMSATS INSTITUTE OF INFORMATION TECHNOLOGY,Public,Islamabad,"Park Road, Tarlai Kalan, Islamabad 45550, Pakistan",051-90495112,Email: registrar@comsats.edu.pk Fax:051-9247006 URL:https://www.comsats.edu.pk/
16,CAPITAL UNIVERSITY OF SCIENCE & TECHNOLOGY,Private,Islamabad,"Capital University of Science & Technology Islamabad Expressway, Kahuta Road, Zone-V Islamabad.","+92-51-2512800-1, +92-51-44867",Email: registrar@cust.edu.pk Fax:+92-51-4486705 URL:http://www.cust.edu.pk/
17,CITY UNIVERSITY OF SCIENCE AND INFORMATION TECHNOLOGY,Private,Peshawar,"City University Of Science and Information Technology Dalazak Road Peshawar, Pakistan.",+92-91-2609501-8,Email: info@cusit.edu.pk Fax:+92 91 2609500 URL:http://www.cityuniversity.edu.pk
