,University,Sector,City,Province,Address,Phone,Email,Url,Type
0,Abasyn University,Private,Peshawar,Khyber Pakhtunkhwa,"Peshawar Campus, Ring Road (Charsadda Link), Peshawar.","92-91-258 2934, +92-91- 224867",admissions@abasyn.edu.pk,http://www.abasyn.edu.pk/,General
1,Abbottabad University of Science And Technology (aust),Public,Abbottabad,Khyber Pakhtunkhwa,"Captain Akaash Rabbani Shaheed Road, Tehsil Havelian, District Abbottabad, Khyber Pakhtunkhwa",+92 (992) 402 117,info@aust.edu.pk,http://aust.edu.pk,Engineering
2,Abdul Wali Khan University,Public,Mardan,Khyber Pakhtunkhwa,"Garden Campus Toru Road, Mardan","+92-937-843356, +92-937-840499",ua-cdc@awkum.edu.pk,http://www.awkum.edu.pk,General
3,Air University,Public,Islamabad,Islamabad Capital Territory,"Service Road E-9 / E-8, Islamabad, Pakistan، Islamabad 44000, Pakistan",+92-51-9262557-9,amjad@mail.au.edu.pk,http://www.au.edu.pk/,Engineering
4,Al-hamd Islamic University,Private,Quetta,Balochistan,"Airport Road Quetta, Baleli Road, Quetta, Pakistan","+92-81-2301771-6, 4, 3,2",info@aiu.edu.pk,http://www.aiu.edu.pk,General
5,Ali Institute of Education,Private,Lahore,Punjab,"Shahrah-e-Roomi (Ferozpur Road), Lahore 54000.",+92.423 588 2913,info@aie.edu.pk,http://www.aie.edu.pk/,Education
6,Allama Iqbal Open University,Public,Islamabad,Islamabad Capital Territory,"Ashfaq Ahmed Road, H-8/2، Islamabad 44000, Pakistan",+92-51-111-112-468,support@aiou.edu.pk,http://www.aiou.edu.pk,General
7,Bahauddin Zakariya University,Public,Multan,Punjab,"Bosan Road,Multan 60000, Multan, Pakistan",+92-61-9210069,registrar@bzu.edu.pk,http://www.bzu.edu.pk,General
8,Bahria University,Public,Islamabad,Islamabad Capital Territory,"Sector E-8، Shangrilla Rd, Islamabad, Pakistan",+92-51-111-111-028,info@bahria.edu.pk,http://www.bahria.edu.pk/,General
9,Balochistan University of Engineering & Technology,Public,Khuzdar,Balochistan,"Balochistan University of Engg & Technology (BUET), Khuzdar.","+92-848-412834, +92-848-502100",info@buetk.edu.pk,http://www.buetk.edu.pk,Engineering
10,Balochistan University of Information Technology & Management Sciences,Public,Quetta,Balochistan,"Balochistan University of Information Technology, Engineering and Management Sciences, Airport Road, Baleli, Quetta.","+92-81-2881042081, +92-81-9202",faisal.durrani@buitms.edu.pk,http://www.buitms.edu.pk,Information Technology
11,Baqai Medical University,Private,Karachi,Sindh,"51, Deh Tor, Gadap Road, Near Toll Plaza, Super Highway P.O Box No 2407, Karachi - 74600, Pakistan.","+92-21-34410-311, +92-21-34410",info@baqai.edu.pk,http://www.baqai.edu.pk,Medical
12,Beaconhouse National University,Private,Lahore,Punjab,"13 KM Raiwaind Road, Near Jati Umrah Road, Lahore 54400.",+92-42-38100156,info@bnu.edu.pk,http://www.bnu.edu.pk,General
13,Benazir Bhutto Shaheed University Lyari,Public,Karachi,Sindh,"Fakir Muhammad Dura Khan Road, Near “Kashti Chowk” Lyari, Karachi, Postal Code: 75660.","+92-21-32744020, +92-21-327440",info@bbsul.edu.pk,http://www.bbsul.edu.pk,General
14,Cecos University of Information Technology & Emerging Sciences,Private,Peshawar,Khyber Pakhtunkhwa,"CECOS University, Phase 6, Sector F-5, Hayatabad, Peshawar.",+92-91-5864291,info@www.cecos.edu.pk,http://www.cecos.edu.pk,Information Technology
15,Comsats Institute of Information Technology,Public,Islamabad,Islamabad Capital Territory,"Park Road, Tarlai Kalan, Islamabad 45550, Pakistan",051-90495112,registrar@comsats.edu.pk,https://www.comsats.edu.pk/,Information Technology
16,Capital University of Science & Technology,Private,Islamabad,Islamabad Capital Territory,"Capital University of Science & Technology Islamabad Expressway, Kahuta Road, Zone-V Islamabad.","+92-51-2512800-1, +92-51-44867",registrar@cust.edu.pk,http://www.cust.edu.pk/,General
17,City University of Science And Information Technology,Private,Peshawar,Khyber Pakhtunkhwa,"City University Of Science and Information Technology Dalazak Road Peshawar, Pakistan.",+92-91-2609501-8,info@cusit.edu.pk,http://www.cityuniversity.edu.pk,General
18,Commecs Institute of Business & Emerging Sciences,Private,Karachi,Sindh,"Plot No. 40-B, Block-6, PECHS, Karachi.","+92-21-34634104, +92-21-343200",info@commecsinstitute.edu.pk,http://www.commecsinstitute.edu.pk,Business
19,Dha Suffa University,Private,Karachi,Sindh,"DG-78, Off Khayaban-e-Tufail, Ph-VII (Ext),DHA, Karachi-75500.",+92-21-35244875,info@dsu.edu.pk,http://www.dsu.edu.pk,General
20,Dow University of Health Sciences,Public,Karachi,Sindh,"Baba-E-Urdu Road, Karachi 74200.",+92-21-99215754-7 +92-21-32715,ctu@duhs.edu.pk,http://www.duhs.edu.pk,Medical
21,Dadabhoy Institute of Higher Education,Private,Karachi,Sindh,"SNPA-17/B, Block 3, P.E.C.H.Society,Shaheed-e-Millat Road, Karachi.","+92-21-34389108, +92-21-111-02",registrar@dadabhoy.edu.pk,http://www.dadabhoy.edu.pk,General
22,Dawood University of Engineering & Technology,Public,Karachi,Sindh,"M.A. Jinnah Road, Karachi 74800.","+92-21-99230701, +92-21-992311",info@duet.edu.pk,http://www.duet.edu.pk,Engineering
23,"Fatima Jinnah Medical University, Lahore",Public,Lahore,Punjab,"Shara-I-Fatima Jinnah ,Queens Road Lahore","99200572-8, 99203718 111-222-",info.college@fjmc.edu.pk,http://www.fjmc.edu.pk/,Medical
24,"Federal Urdu University of Arts, Sciences & Technology",Public,Islamabad,Islamabad Capital Territory,"Sector G-7/1, Near Zero Point,Islamabad.",+92-51-9252860-64,info@fuuastisb.edu.pk,http://www.fuuastisb.edu.pk/,General
25,Forman Christian College,Private,Lahore,Punjab,Forman Christian College Ferozepur Road Lahore 54600 Pakistan,"+92-42-99230782, +92-42-992315",contact@fccollege.edu.pk,http://www.fccollege.edu.pk,General
26,Foundation University,Private,Islamabad,Islamabad Capital Territory,"Defence Avenue, Phase-I, DHA,Islamabad","+92-51-5788171, +92-51-5788250",info@fui.edu.pk,http://www.fui.edu.pk/,General
27,Gift University,Private,Gujranwala,Punjab,"Sialkot Bypass, Gujranwala, Pakistan.",+92-55-3892981,info@gift.edu.pk,http://www.gift.edu.pk,General
28,Gandhara University,Private,Khyber Pukhtunkhwa,Khyber Pakhtunkhwa,"Canal Road University Town, Peshawar.",+92-243-640160,info@gandhara.edu.pk,http://www.gandhara.edu.pk,Medical
29,Ghazi University,Public,Dera Ghazi Khan,Punjab,"Ghazi University, Dera Ghazi Khan - City Campus, College Chowk, Near Pul Dat.",+92-64-9260380,info@gudgk.edu.pk,http://www.gudgk.edu.pk,General
30,Ghulam Ishaq Khan Institute of Engineering Sciences & Technology,Private,Swabi,Khyber Pakhtunkhwa,"GIK Institute of Engineering Sciences and Technology, Topi 23640, District Swabi, Khyber Pakhtunkhwa, Pakistan.","+92-938-271875,+92-938-271897",sherali@giki.edu.pk,http://www.giki.edu.pk,Engineering
31,Gomal University,Public,Dera Ismail Khan,Khyber Pakhtunkhwa,"Indus HWY, DI Khan City, Dera Ismail Khan, Khyber Pakhtoonkhwa, Dera Ismail Khan, Pakistan","+92-966-750266, +92-966-750279",submit.gomalujr@gmail.com,http://www.gu.edu.pk/,General
32,Government College University,Public,Faisalabad,Punjab,"Kotwali Rd, Faisalabad 38000, Pakistan.","+92-41-9200670, +92-41-9201266",info@gcuf.edu.pk,http://www.gcuf.edu.pk,General
33,"Government College University, Lahore",Public,Lahore,Punjab,"Near Nasir Bagh, Katchery Rd, Lahore 54000, Pakistan.",+92-42-111 000 010,registrar@gcu.edu.pk,http://www.gcu.edu.pk,General
